date,category,sub_category,amount,payment_mode,is_essential
09-10-2025,Health,Gym Membership,1829,Card,Yes
10-10-2025,Health,Gym Membership,1046,Cash,Yes
10-10-2025,Transport,Fuel,399,UPI,Yes
10-10-2025,Health,Gym Membership,2010,UPI,Yes
11-10-2025,Shopping,Clothes,2337,Card,No
12-10-2025,Entertainment,OTT,2226,Cash,No
12-10-2025,Food,Groceries,109,UPI,Yes
13-10-2025,Transport,Auto/Taxi,112,Card,Yes
13-10-2025,Shopping,Clothes,1836,UPI,No
13-10-2025,Food,Groceries,649,Cash,Yes
14-10-2025,Health,Medicines,1804,Card,Yes
14-10-2025,Shopping,Amazon Purchase,533,UPI,No
14-10-2025,Utilities,Water Bill,1770,UPI,Yes
15-10-2025,Shopping,Amazon Purchase,1072,UPI,No
15-10-2025,Health,Gym Membership,1514,UPI,Yes
16-10-2025,Entertainment,Movies,277,Card,No
17-10-2025,Shopping,Electronics,1265,UPI,No
17-10-2025,Transport,Auto/Taxi,394,Card,Yes
18-10-2025,Entertainment,Movies,1246,Cash,No
18-10-2025,Subscriptions,Netflix,2392,UPI,No
18-10-2025,Subscriptions,Netflix,2197,UPI,No
19-10-2025,Subscriptions,Netflix,1869,Cash,No
19-10-2025,Subscriptions,Spotify,1671,Cash,No
19-10-2025,Subscriptions,Spotify,2235,Card,No
20-10-2025,Utilities,Internet Bill,1320,UPI,Yes
20-10-2025,Entertainment,OTT,1477,Card,No
20-10-2025,Transport,Auto/Taxi,734,Card,Yes
21-10-2025,Health,Gym Membership,1014,UPI,Yes
22-10-2025,Entertainment,OTT,2294,UPI,No
22-10-2025,Transport,Fuel,726,Cash,Yes
22-10-2025,Shopping,Electronics,2034,Cash,No
23-10-2025,Shopping,Clothes,2065,Card,No
24-10-2025,Subscriptions,Netflix,562,Card,No
24-10-2025,Entertainment,Movies,1184,UPI,No
25-10-2025,Shopping,Electronics,555,UPI,No
25-10-2025,Entertainment,OTT,803,Cash,No
25-10-2025,Transport,Fuel,150,UPI,Yes
26-10-2025,Food,Snacks,506,UPI,Yes
26-10-2025,Health,Medicines,1845,Card,Yes
27-10-2025,Food,Groceries,666,Cash,Yes
27-10-2025,Subscriptions,Netflix,1532,UPI,No
27-10-2025,Transport,Auto/Taxi,216,Card,Yes
28-10-2025,Utilities,Electricity Bill,736,Card,Yes
29-10-2025,Health,Medicines,674,Card,Yes
29-10-2025,Utilities,Internet Bill,1138,Cash,Yes
29-10-2025,Shopping,Amazon Purchase,1405,UPI,No
30-10-2025,Shopping,Electronics,2079,UPI,No
30-10-2025,Food,Eating Out,761,Card,Yes
30-10-2025,Shopping,Clothes,1166,UPI,No
31-10-2025,Food,Eating Out,441,Cash,Yes
01-11-2025,Food,Groceries,835,UPI,Yes
02-11-2025,Subscriptions,Netflix,1151,Cash,No
02-11-2025,Health,Medicines,628,UPI,Yes
03-11-2025,Utilities,Electricity Bill,1594,Cash,Yes
03-11-2025,Transport,Fuel,212,Card,Yes
04-11-2025,Health,Gym Membership,2120,UPI,Yes
04-11-2025,Subscriptions,Spotify,999,Card,No
05-11-2025,Utilities,Internet Bill,2334,Cash,Yes
05-11-2025,Shopping,Amazon Purchase,1032,UPI,No
06-11-2025,Utilities,Electricity Bill,1990,UPI,Yes
06-11-2025,Health,Medicines,1487,Card,Yes
06-11-2025,Utilities,Electricity Bill,1511,Card,Yes
07-11-2025,Shopping,Amazon Purchase,381,UPI,No
07-11-2025,Health,Medicines,1143,Card,Yes
07-11-2025,Subscriptions,Spotify,2398,UPI,No
08-11-2025,Entertainment,OTT,1508,Card,No
08-11-2025,Transport,Auto/Taxi,808,Cash,Yes
08-11-2025,Transport,Auto/Taxi,806,Cash,Yes
09-11-2025,Shopping,Amazon Purchase,1004,Card,No
09-11-2025,Health,Medicines,1276,Cash,Yes
09-11-2025,Shopping,Amazon Purchase,1587,UPI,No
10-11-2025,Health,Medicines,327,UPI,Yes
10-11-2025,Transport,Fuel,625,UPI,Yes
11-11-2025,Entertainment,Movies,1981,Card,No
11-11-2025,Utilities,Internet Bill,641,UPI,Yes
12-11-2025,Transport,Fuel,174,Card,Yes
13-11-2025,Entertainment,OTT,240,Card,No
13-11-2025,Transport,Fuel,252,Card,Yes
14-11-2025,Shopping,Clothes,541,UPI,No
14-11-2025,Utilities,Water Bill,845,Cash,Yes
15-11-2025,Shopping,Amazon Purchase,654,Card,No
15-11-2025,Entertainment,OTT,901,Card,No
16-11-2025,Transport,Fuel,462,UPI,Yes
16-11-2025,Utilities,Electricity Bill,1594,Card,Yes
17-11-2025,Entertainment,OTT,2258,UPI,No
18-11-2025,Subscriptions,Spotify,1533,Card,No
18-11-2025,Subscriptions,Spotify,957,Card,No
18-11-2025,Entertainment,Movies,1985,Cash,No
19-11-2025,Utilities,Water Bill,564,Cash,Yes
19-11-2025,Transport,Auto/Taxi,549,UPI,Yes
19-11-2025,Food,Groceries,116,UPI,Yes
20-11-2025,Entertainment,OTT,2289,UPI,No
21-11-2025,Utilities,Water Bill,1452,Cash,Yes
21-11-2025,Health,Medicines,1836,Cash,Yes
21-11-2025,Utilities,Water Bill,1240,Card,Yes
22-11-2025,Subscriptions,Netflix,211,Card,No
23-11-2025,Subscriptions,Spotify,1950,UPI,No
23-11-2025,Health,Gym Membership,1423,UPI,Yes
23-11-2025,Transport,Fuel,754,Cash,Yes
24-11-2025,Food,Snacks,146,Card,Yes
24-11-2025,Subscriptions,Spotify,2017,UPI,No
25-11-2025,Transport,Fuel,434,UPI,Yes
25-11-2025,Subscriptions,Netflix,1721,Cash,No
26-11-2025,Entertainment,Movies,1189,Cash,No
26-11-2025,Utilities,Electricity Bill,814,UPI,Yes
26-11-2025,Health,Gym Membership,2435,UPI,Yes
27-11-2025,Utilities,Internet Bill,382,Cash,Yes
27-11-2025,Shopping,Electronics,1572,Card,No
28-11-2025,Entertainment,OTT,215,UPI,No
29-11-2025,Shopping,Clothes,510,Cash,No
29-11-2025,Transport,Auto/Taxi,350,Cash,Yes
30-11-2025,Entertainment,Movies,1831,Cash,No
01-12-2025,Subscriptions,Netflix,228,Card,No
01-12-2025,Food,Groceries,344,UPI,Yes
01-12-2025,Shopping,Amazon Purchase,465,Card,No
02-12-2025,Subscriptions,Netflix,588,UPI,No
03-12-2025,Food,Groceries,241,Card,Yes
03-12-2025,Transport,Fuel,392,UPI,Yes
04-12-2025,Entertainment,OTT,598,UPI,No
05-12-2025,Shopping,Clothes,2241,UPI,No
06-12-2025,Entertainment,Movies,909,Cash,No
07-12-2025,Health,Gym Membership,1285,UPI,Yes
07-12-2025,Transport,Fuel,663,Cash,Yes
07-12-2025,Shopping,Amazon Purchase,1533,UPI,No
08-12-2025,Entertainment,Movies,425,UPI,No
08-12-2025,Transport,Fuel,605,Cash,Yes
08-12-2025,Health,Gym Membership,253,Cash,Yes
09-12-2025,Food,Eating Out,119,Card,Yes
09-12-2025,Food,Groceries,589,Cash,Yes
09-12-2025,Transport,Fuel,244,Cash,Yes
10-12-2025,Health,Gym Membership,1092,Cash,Yes
10-12-2025,Food,Eating Out,456,Card,Yes
10-12-2025,Utilities,Water Bill,1187,UPI,Yes
11-12-2025,Utilities,Water Bill,1555,Card,Yes
12-12-2025,Subscriptions,Spotify,1618,Cash,No
13-12-2025,Shopping,Electronics,1474,UPI,No
13-12-2025,Transport,Fuel,136,UPI,Yes
14-12-2025,Entertainment,OTT,1524,Card,No
15-12-2025,Utilities,Water Bill,1791,Card,Yes
16-12-2025,Entertainment,Movies,1485,Cash,No
16-12-2025,Shopping,Amazon Purchase,1904,UPI,No
16-12-2025,Utilities,Electricity Bill,1916,Card,Yes
17-12-2025,Utilities,Internet Bill,2254,UPI,Yes
17-12-2025,Utilities,Water Bill,1254,Cash,Yes
17-12-2025,Transport,Fuel,462,UPI,Yes
18-12-2025,Subscriptions,Netflix,788,UPI,No
18-12-2025,Shopping,Clothes,1447,UPI,No
19-12-2025,Utilities,Water Bill,2264,Cash,Yes
19-12-2025,Transport,Auto/Taxi,464,Cash,Yes
20-12-2025,Utilities,Internet Bill,785,UPI,Yes
20-12-2025,Transport,Fuel,671,Cash,Yes
21-12-2025,Entertainment,Movies,1419,Card,No
21-12-2025,Shopping,Electronics,1240,Card,No
22-12-2025,Transport,Fuel,121,Card,Yes
23-12-2025,Transport,Auto/Taxi,803,Cash,Yes
23-12-2025,Entertainment,Movies,962,Cash,No
23-12-2025,Shopping,Amazon Purchase,1230,UPI,No
24-12-2025,Food,Groceries,178,Cash,Yes
24-12-2025,Utilities,Internet Bill,1653,Card,Yes
24-12-2025,Entertainment,OTT,238,Cash,No
25-12-2025,Entertainment,OTT,2023,Card,No
25-12-2025,Subscriptions,Spotify,1762,Cash,No
25-12-2025,Food,Snacks,539,UPI,Yes
26-12-2025,Subscriptions,Netflix,283,Card,No
27-12-2025,Food,Groceries,606,UPI,Yes
27-12-2025,Transport,Auto/Taxi,626,Card,Yes
27-12-2025,Entertainment,Movies,992,Card,No
28-12-2025,Shopping,Electronics,1807,Card,No
28-12-2025,Food,Snacks,408,Cash,Yes
28-12-2025,Utilities,Water Bill,2235,Cash,Yes
29-12-2025,Entertainment,Movies,892,Card,No
29-12-2025,Utilities,Electricity Bill,726,UPI,Yes
29-12-2025,Health,Medicines,1459,UPI,Yes
30-12-2025,Food,Groceries,825,Card,Yes
30-12-2025,Entertainment,Movies,1567,Cash,No
31-12-2025,Food,Groceries,373,Card,Yes
01-07-2025,Rent,House Rent,12000,UPI,Yes
01-07-2025,EMI,Personal Loan EMI,4200,AutoDebit,Yes
01-08-2025,Rent,House Rent,12000,UPI,Yes
01-08-2025,EMI,Personal Loan EMI,4200,AutoDebit,Yes
01-09-2025,Rent,House Rent,12000,UPI,Yes
01-09-2025,EMI,Personal Loan EMI,4200,AutoDebit,Yes
01-10-2025,Rent,House Rent,12000,UPI,Yes
01-10-2025,EMI,Personal Loan EMI,4200,AutoDebit,Yes
01-11-2025,Rent,House Rent,12000,UPI,Yes
01-11-2025,EMI,Personal Loan EMI,4200,AutoDebit,Yes
01-12-2025,Rent,House Rent,12000,UPI,Yes
01-12-2025,EMI,Personal Loan EMI,4200,AutoDebit,Yes
